place_id,name,lat,lon,node_type,address,place,popular_times,rating,rating_n,current_popularity,time_spent
ChIJ--4BfpndQUcRjpJg7hiB8xw,Erste Bank fiók,47.4554815,19.040086499999997,bank,"Budapest, Fehérvári út 130","Erste Bank fiók Budapest, Fehérvári út 130 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 48, 66, 63, 69, 83, 84, 85, 92, 85, 61, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 43, 95, 87, 71, 87, 100, 90, 62, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 44, 78, 91, 85, 87, 95, 80, 47, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 85, 90, 58, 68, 84, 90, 85, 69, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 50, 81, 93, 79, 56, 41, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",2.5,37,37,"[15, 45]"
ChIJ-0E_HgjcQUcRgIO_M1yonik,Sarki Fűszeres,47.519380700000006,19.0523938,cafe,"Budapest, Pozsonyi út 53-55","Sarki Fűszeres Budapest, Pozsonyi út 53-55 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 41, 60, 70, 65, 53, 45, 44, 45, 42, 34, 22, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 49, 75, 76, 62, 56, 57, 58, 57, 52, 45, 36, 28, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 47, 63, 72, 74, 69, 62, 59, 59, 59, 55, 46, 32, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 27, 51, 70, 74, 64, 51, 47, 49, 52, 50, 43, 32, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 47, 67, 77, 75, 65, 58, 55, 54, 53, 51, 46, 40, 32, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 84, 100, 87, 60, 45, 47, 57, 62, 56, 42, 26, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 87, 71, 73, 78, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.6,855,37,"[25, 90]"
ChIJ-1QITYDZQUcRu79smsboi-g,Szigetcsúcs Óbudai-sziget,47.5603421,19.060703399999998,park,Budapest,Szigetcsúcs Óbudai-sziget Budapest budapest,"[{'name': 'Monday', 'data': [1, 0, 1, 1, 1, 1, 2, 5, 9, 11, 13, 13, 12, 10, 22, 22, 17, 34, 47, 41, 21, 3, 1, 1]}, {'name': 'Tuesday', 'data': [1, 1, 1, 1, 1, 1, 1, 2, 5, 8, 10, 12, 13, 14, 13, 13, 23, 51, 68, 40, 10, 1, 1, 1]}, {'name': 'Wednesday', 'data': [1, 1, 1, 1, 1, 2, 5, 8, 11, 14, 17, 18, 19, 18, 17, 16, 20, 36, 53, 46, 22, 3, 1, 1]}, {'name': 'Thursday', 'data': [1, 1, 1, 1, 1, 0, 2, 4, 5, 7, 9, 11, 12, 13, 16, 26, 45, 64, 65, 44, 21, 8, 3, 1]}, {'name': 'Friday', 'data': [1, 1, 1, 1, 1, 1, 0, 5, 10, 14, 17, 18, 18, 18, 21, 26, 35, 54, 64, 45, 24, 12, 5, 1]}, {'name': 'Saturday', 'data': [1, 1, 1, 1, 1, 0, 4, 11, 19, 26, 32, 36, 41, 51, 66, 83, 96, 100, 90, 71, 49, 28, 13, 4]}, {'name': 'Sunday', 'data': [1, 1, 1, 1, 1, 1, 4, 15, 30, 46, 57, 59, 53, 47, 50, 65, 85, 92, 79, 51, 23, 5, 1, 1]}]",4.8,433,26,"[10, 60]"
ChIJ-2IeIkTcQUcRnmhAe6L2jQk,Duna Dental Fogászat Budapest,47.4917714,19.053533899999998,dentist,"Budapest, Duna utca 3","Duna Dental Fogászat Budapest Budapest, Duna utca 3 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 40, 60, 66, 65, 69, 78, 83, 82, 73, 59, 43, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 80, 100, 100, 87, 78, 79, 86, 89, 81, 64, 44, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 67, 85, 85, 80, 78, 80, 80, 74, 61, 45, 30, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 52, 74, 90, 95, 88, 74, 67, 78, 92, 83, 50, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 47, 72, 78, 67, 57, 54, 52, 49, 43, 34, 25, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 23, 24, 23, 23, 24, 23, 20, 16, 12, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.4,84,33,"[30, 60]"
ChIJ-2KkD-3bQUcRUYpNUVmnGXY,Spar,47.5284139,19.0687713,supermarket,"Budapest, Dunyov István utca 9","Spar Budapest, Dunyov István utca 9 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 28, 42, 49, 49, 50, 62, 71, 59, 47, 60, 84, 100, 93, 69, 39, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 28, 41, 55, 67, 74, 75, 71, 65, 63, 68, 78, 83, 76, 58, 35, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 31, 46, 61, 70, 72, 68, 60, 55, 57, 67, 80, 86, 78, 58, 35, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 30, 55, 68, 66, 59, 58, 62, 65, 69, 77, 84, 83, 73, 57, 39, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 29, 41, 48, 49, 49, 49, 51, 54, 56, 59, 66, 71, 70, 59, 40, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 16, 26, 37, 47, 54, 58, 57, 54, 49, 47, 48, 51, 51, 44, 32, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 51, 57, 53, 43, 39, 49, 67, 79, 72, 49, 0, 0, 0, 0]}]",3.3,496,61,"[15, 15]"
ChIJ-3QfpenbQUcRwRPr46Xq9nE,Karikás Frigyes utcai felnőtt háziorvosi rendelő.,47.5351785,19.0662467,doctor,"Budapest, Karikás Frigyes utca 1b","Karikás Frigyes utcai felnőtt háziorvosi rendelő. Budapest, Karikás Frigyes utca 1b budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 53, 61, 50, 34, 33, 54, 83, 100, 90, 60, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 53, 71, 74, 59, 39, 28, 40, 66, 86, 84, 60, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 46, 66, 76, 70, 53, 37, 38, 55, 73, 73, 52, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 26, 48, 65, 66, 51, 35, 36, 55, 77, 80, 60, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 48, 63, 57, 40, 28, 29, 36, 41, 40, 33, 23, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",2.8,18,11,"[20, 20]"
ChIJ-4VEHo_ZQUcRFDMuZLmRbFs,Bagetto,47.5708172,19.0619386,bakery,"Budapest, Nánási út 47-49","Bagetto Budapest, Nánási út 47-49 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 11, 20, 27, 26, 19, 13, 11, 13, 15, 15, 13, 8, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 22, 30, 27, 25, 28, 26, 21, 19, 21, 23, 22, 16, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 11, 25, 34, 35, 33, 28, 20, 14, 15, 17, 17, 12, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 21, 33, 37, 32, 24, 20, 19, 20, 22, 23, 20, 14, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 17, 30, 39, 39, 31, 20, 11, 10, 15, 20, 21, 14, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 39, 77, 100, 89, 65, 45, 33, 27, 23, 21, 17, 12, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 34, 51, 39, 48, 46, 37, 28, 21, 16, 11, 0, 0, 0, 0, 0, 0]}]",4.6,323,31,"[10, 45]"
ChIJ-6FvO4jbQUcROeO39pe3Sxs,Museum of Fine Arts,47.516203600000004,19.0764374,museum,"Budapest, Dózsa György út 41","Museum of Fine Arts Budapest, Dózsa György út 41 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 40, 39, 38, 35, 31, 24, 15, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 46, 48, 48, 46, 41, 32, 21, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 78, 88, 92, 87, 76, 60, 42, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 89, 100, 97, 92, 88, 72, 39, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 65, 78, 80, 88, 93, 70, 31, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 70, 89, 84, 79, 87, 78, 44, 0, 0, 0, 0, 0, 0]}]",4.7,5140,77,"[150, 150]"
ChIJ-73IlPLBQUcRx1OcCdQ20eA,Electrical appliances shop. - Daniella Ltd. Üllői,47.4273453,19.2222028,home_goods_store,"Budapest, Üllői út 775","Electrical appliances shop. - Daniella Ltd. Üllői Budapest, Üllői út 775 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 48, 95, 53, 39, 57, 68, 65, 52, 43, 43, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 64, 94, 100, 77, 49, 35, 41, 56, 68, 73, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 43, 73, 92, 88, 69, 54, 50, 48, 37, 22, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 68, 83, 56, 66, 70, 46, 45, 64, 66, 47, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 38, 61, 66, 74, 68, 45, 29, 31, 47, 59, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.5,199,92,"[10, 10]"
ChIJ-7yjTYzCQUcRZni2Hc0qHcQ,Alpha-Vet Veterinary Kft.,47.437465,19.145670000000003,pharmacy,"Budapest, Hofherr Albert utca 38","Alpha-Vet Veterinary Kft. Budapest, Hofherr Albert utca 38 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 71, 89, 94, 89, 84, 86, 89, 84, 65, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 57, 80, 86, 75, 68, 78, 94, 100, 87, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 62, 84, 92, 89, 84, 86, 90, 88, 75, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 66, 87, 97, 98, 93, 90, 88, 81, 67, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 55, 68, 75, 80, 82, 82, 81, 73, 61, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.4,328,56,"[15, 45]"
