Name,Time.1,processed_all_vol
es12FD710_D2_D710.1,00:00:00,0
es12FD710_D3_D710.2,00:00:00,0
es12FD710_D4_D710.3,00:00:00,0
es12FD710_D5_D710.4,00:00:00,0
es12FD710_D6_D710.5,00:00:00,0
es12FD710_D7_D710.6,00:00:00,0
es12FD710_D8_D710.8,00:00:00,0
es12FD711_D1_D711.1,00:00:00,0
es31FD0_D1122_MD3,00:00:00,0
es31FD0_D1123_MD4,00:00:00,76
es31FD0_D1133_MD14,00:00:00,24
es31FD0_D1134_MD15,00:00:00,4
es31FD770_D3_D770.3,00:00:00,148
es31FD770_D4_D770.4,00:00:00,48
es31FD770_D5_D770.5,00:00:00,0
es31FD770_D6_D770.6,00:00:00,0
es31FD909_D1_D909.1,00:00:00,4
es31FD909_D2_D909.2,00:00:00,64
es31FD909_D3_D909.3,00:00:00,20
es31FD909_D4_D909.4,00:00:00,0
es31FD909_D5_D909.5,00:00:00,108
es31FD909_D6_D909.6,00:00:00,64
es31FD909_D7_D909.7,00:00:00,24
es31FD910_D1_D910.1,00:00:00,28
es31FD910_D2_D910.2,00:00:00,16
es31FD916_D3_D916.3,00:00:00,0
es31FD916_D4_D916.4,00:00:00,0
es31FD916_D5_D916.5,00:00:00,0
es31FD916_D6_D916.6,00:00:00,0
es31FD918_D10_Det 10,00:00:00,16
es31FD918_D11_Det 11,00:00:00,100
es31FD918_D12_Det 12,00:00:00,100
es31FD918_D6_Det 6,00:00:00,76
es31FD918_D7_Det 7,00:00:00,4
es31FD918_D8_Det 8,00:00:00,32
es31FD918_D9_Det 9,00:00:00,36
ig13FD776_D1_Det 1,00:00:00,0
ig13FD776_D2_Det 2,00:00:00,0
ig13FD926_D1_D926.1,00:00:00,0
ig13FD926_D2_D926.2,00:00:00,12
ig13FD926_D5_D926.5,00:00:00,0
ig13FD926_D6_D926.6,00:00:00,0
ig13FD926_D7_D926.7,00:00:00,143.73334
ig13FD926_D8_D926.8,00:00:00,112
es12FD710_D2_D710.1,00:05:00,0
es12FD710_D2_D710.1,00:10:00,0
es12FD710_D2_D710.1,00:15:00,0
es12FD710_D2_D710.1,00:20:00,0
es12FD710_D2_D710.1,00:25:00,0
es12FD710_D2_D710.1,00:30:00,0
es12FD710_D2_D710.1,00:35:00,0
es12FD710_D2_D710.1,00:40:00,0
es12FD710_D2_D710.1,00:45:00,0
es12FD710_D2_D710.1,00:50:00,0
es12FD710_D2_D710.1,00:55:00,0
es12FD710_D2_D710.1,01:00:00,0
es12FD710_D2_D710.1,01:05:00,0
es12FD710_D2_D710.1,01:10:00,0
es12FD710_D2_D710.1,01:15:00,0
es12FD710_D2_D710.1,01:20:00,0
es12FD710_D2_D710.1,01:25:00,0
es12FD710_D2_D710.1,01:30:00,0
es12FD710_D2_D710.1,01:35:00,0
es12FD710_D2_D710.1,01:40:00,0
es12FD710_D2_D710.1,01:45:00,0
es12FD710_D2_D710.1,01:50:00,0
es12FD710_D2_D710.1,01:55:00,0
es12FD710_D2_D710.1,02:00:00,0
es12FD710_D2_D710.1,02:05:00,0
es12FD710_D2_D710.1,02:10:00,0
es12FD710_D2_D710.1,02:15:00,0
es12FD710_D2_D710.1,02:20:00,0
es12FD710_D2_D710.1,02:25:00,0
es12FD710_D2_D710.1,02:30:00,0
es12FD710_D2_D710.1,02:35:00,0
es12FD710_D2_D710.1,02:40:00,0
es12FD710_D2_D710.1,02:45:00,0
es12FD710_D2_D710.1,02:50:00,0
es12FD710_D2_D710.1,02:55:00,0
es12FD710_D2_D710.1,03:00:00,0
es12FD710_D2_D710.1,03:05:00,0
es12FD710_D2_D710.1,03:10:00,0
es12FD710_D2_D710.1,03:15:00,0
es12FD710_D2_D710.1,03:20:00,0
es12FD710_D2_D710.1,03:25:00,0
es12FD710_D2_D710.1,03:30:00,0
es12FD710_D2_D710.1,03:35:00,0
es12FD710_D2_D710.1,03:40:00,0
es12FD710_D2_D710.1,03:45:00,0
es12FD710_D2_D710.1,03:50:00,0
es12FD710_D2_D710.1,03:55:00,0
es12FD710_D2_D710.1,04:00:00,0
es12FD710_D2_D710.1,04:05:00,0
es12FD710_D2_D710.1,04:10:00,0
es12FD710_D2_D710.1,04:15:00,0
es12FD710_D2_D710.1,04:20:00,0
es12FD710_D2_D710.1,04:25:00,0
es12FD710_D2_D710.1,04:30:00,0
es12FD710_D2_D710.1,04:35:00,0
es12FD710_D2_D710.1,04:40:00,0
es12FD710_D2_D710.1,04:45:00,0
es12FD710_D2_D710.1,04:50:00,0
es12FD710_D2_D710.1,04:55:00,0
es12FD710_D2_D710.1,05:00:00,0
es12FD710_D2_D710.1,05:05:00,0
es12FD710_D2_D710.1,05:10:00,0
es12FD710_D2_D710.1,05:15:00,0
es12FD710_D2_D710.1,05:20:00,0
es12FD710_D2_D710.1,05:25:00,0
es12FD710_D2_D710.1,05:30:00,0
es12FD710_D2_D710.1,05:35:00,0
es12FD710_D2_D710.1,05:40:00,0
es12FD710_D2_D710.1,05:45:00,0
es12FD710_D2_D710.1,05:50:00,0
es12FD710_D2_D710.1,05:55:00,0
es12FD710_D2_D710.1,06:00:00,0
es12FD710_D2_D710.1,06:05:00,0
es12FD710_D2_D710.1,06:10:00,0
es12FD710_D2_D710.1,06:15:00,0
es12FD710_D2_D710.1,06:20:00,0
es12FD710_D2_D710.1,06:25:00,0
es12FD710_D2_D710.1,06:30:00,0
es12FD710_D2_D710.1,06:35:00,0
es12FD710_D2_D710.1,06:40:00,0
es12FD710_D2_D710.1,06:45:00,0
es12FD710_D2_D710.1,06:50:00,0
es12FD710_D2_D710.1,06:55:00,0
es12FD710_D2_D710.1,07:00:00,0
es12FD710_D2_D710.1,07:05:00,0
es12FD710_D2_D710.1,07:10:00,0
es12FD710_D2_D710.1,07:15:00,0
es12FD710_D2_D710.1,07:20:00,0
es12FD710_D2_D710.1,07:25:00,0
es12FD710_D2_D710.1,07:30:00,0
es12FD710_D2_D710.1,07:35:00,0
es12FD710_D2_D710.1,07:40:00,0
es12FD710_D2_D710.1,07:45:00,0
es12FD710_D2_D710.1,07:50:00,0
es12FD710_D2_D710.1,07:55:00,0
es12FD710_D2_D710.1,08:00:00,0
es12FD710_D2_D710.1,08:05:00,0
es12FD710_D2_D710.1,08:10:00,0
es12FD710_D2_D710.1,08:15:00,0
es12FD710_D2_D710.1,08:20:00,0
es12FD710_D2_D710.1,08:25:00,0
es12FD710_D2_D710.1,08:30:00,0
es12FD710_D2_D710.1,08:35:00,0
es12FD710_D2_D710.1,08:40:00,0
es12FD710_D2_D710.1,08:45:00,0
es12FD710_D2_D710.1,08:50:00,0
es12FD710_D2_D710.1,08:55:00,0
es12FD710_D2_D710.1,09:00:00,0
es12FD710_D2_D710.1,09:05:00,0
es12FD710_D2_D710.1,09:10:00,0
es12FD710_D2_D710.1,09:15:00,0
es12FD710_D2_D710.1,09:20:00,0
es12FD710_D2_D710.1,09:25:00,0
es12FD710_D2_D710.1,09:30:00,0
es12FD710_D2_D710.1,09:35:00,0
es12FD710_D2_D710.1,09:40:00,0
es12FD710_D2_D710.1,09:45:00,0
es12FD710_D2_D710.1,09:50:00,0
es12FD710_D2_D710.1,09:55:00,0
es12FD710_D2_D710.1,10:00:00,0
es12FD710_D2_D710.1,10:05:00,0
es12FD710_D2_D710.1,10:10:00,0
es12FD710_D2_D710.1,10:15:00,0
es12FD710_D2_D710.1,10:20:00,0
es12FD710_D2_D710.1,10:25:00,0
es12FD710_D2_D710.1,10:30:00,0
es12FD710_D2_D710.1,10:35:00,0
es12FD710_D2_D710.1,10:40:00,0
es12FD710_D2_D710.1,10:45:00,0
es12FD710_D2_D710.1,10:50:00,0
es12FD710_D2_D710.1,10:55:00,0
es12FD710_D2_D710.1,11:00:00,0
es12FD710_D2_D710.1,11:05:00,0
es12FD710_D2_D710.1,11:10:00,0
es12FD710_D2_D710.1,11:15:00,0
es12FD710_D2_D710.1,11:20:00,0
es12FD710_D2_D710.1,11:25:00,0
es12FD710_D2_D710.1,11:30:00,0
es12FD710_D2_D710.1,11:35:00,0
es12FD710_D2_D710.1,11:40:00,0
es12FD710_D2_D710.1,11:45:00,0
es12FD710_D2_D710.1,11:50:00,0
es12FD710_D2_D710.1,11:55:00,0
es12FD710_D2_D710.1,12:00:00,0
es12FD710_D2_D710.1,12:05:00,0
es12FD710_D2_D710.1,12:10:00,0
es12FD710_D2_D710.1,12:15:00,0
es12FD710_D2_D710.1,12:20:00,0
es12FD710_D2_D710.1,12:25:00,0
es12FD710_D2_D710.1,12:30:00,0
es12FD710_D2_D710.1,12:35:00,0
es12FD710_D2_D710.1,12:40:00,0
es12FD710_D2_D710.1,12:45:00,0
es12FD710_D2_D710.1,12:50:00,0
es12FD710_D2_D710.1,12:55:00,0
es12FD710_D2_D710.1,13:00:00,0
es12FD710_D2_D710.1,13:05:00,0
es12FD710_D2_D710.1,13:10:00,0
es12FD710_D2_D710.1,13:15:00,0
es12FD710_D2_D710.1,13:20:00,0
es12FD710_D2_D710.1,13:25:00,0
es12FD710_D2_D710.1,13:30:00,0
es12FD710_D2_D710.1,13:35:00,0
es12FD710_D2_D710.1,13:40:00,0
es12FD710_D2_D710.1,13:45:00,0
es12FD710_D2_D710.1,13:50:00,0
es12FD710_D2_D710.1,13:55:00,0
es12FD710_D2_D710.1,14:00:00,0
es12FD710_D2_D710.1,14:05:00,0
es12FD710_D2_D710.1,14:10:00,0
es12FD710_D2_D710.1,14:15:00,0
es12FD710_D2_D710.1,14:20:00,0
es12FD710_D2_D710.1,14:25:00,0
es12FD710_D2_D710.1,14:30:00,0
es12FD710_D2_D710.1,14:35:00,0
es12FD710_D2_D710.1,14:40:00,0
es12FD710_D2_D710.1,14:45:00,0
es12FD710_D2_D710.1,14:50:00,0
es12FD710_D2_D710.1,14:55:00,0
es12FD710_D2_D710.1,15:00:00,0
es12FD710_D2_D710.1,15:05:00,0
es12FD710_D2_D710.1,15:10:00,0
es12FD710_D2_D710.1,15:15:00,0
es12FD710_D2_D710.1,15:20:00,0
es12FD710_D2_D710.1,15:25:00,0
es12FD710_D2_D710.1,15:30:00,0
es12FD710_D2_D710.1,15:35:00,0
es12FD710_D2_D710.1,15:40:00,0
es12FD710_D2_D710.1,15:45:00,0
es12FD710_D2_D710.1,15:50:00,0
es12FD710_D2_D710.1,15:55:00,0
es12FD710_D2_D710.1,16:00:00,0
es12FD710_D2_D710.1,16:05:00,0
es12FD710_D2_D710.1,16:10:00,0
es12FD710_D2_D710.1,16:15:00,0
es12FD710_D2_D710.1,16:20:00,0
es12FD710_D2_D710.1,16:25:00,0
es12FD710_D2_D710.1,16:30:00,0
es12FD710_D2_D710.1,16:35:00,0
es12FD710_D2_D710.1,16:40:00,0
es12FD710_D2_D710.1,16:45:00,0
es12FD710_D2_D710.1,16:50:00,0
es12FD710_D2_D710.1,16:55:00,0
es12FD710_D2_D710.1,17:00:00,0
es12FD710_D2_D710.1,17:05:00,0
es12FD710_D2_D710.1,17:10:00,0
es12FD710_D2_D710.1,17:15:00,0
es12FD710_D2_D710.1,17:20:00,0
es12FD710_D2_D710.1,17:25:00,0
es12FD710_D2_D710.1,17:30:00,0
es12FD710_D2_D710.1,17:35:00,0
es12FD710_D2_D710.1,17:40:00,0
es12FD710_D2_D710.1,17:45:00,0
es12FD710_D2_D710.1,17:50:00,0
es12FD710_D2_D710.1,17:55:00,0
es12FD710_D2_D710.1,18:00:00,0
es12FD710_D2_D710.1,18:05:00,0
es12FD710_D2_D710.1,18:10:00,0
es12FD710_D2_D710.1,18:15:00,0
es12FD710_D2_D710.1,18:20:00,0
es12FD710_D2_D710.1,18:25:00,0
es12FD710_D2_D710.1,18:30:00,0
es12FD710_D2_D710.1,18:35:00,0
es12FD710_D2_D710.1,18:40:00,0
es12FD710_D2_D710.1,18:45:00,0
es12FD710_D2_D710.1,18:50:00,0
es12FD710_D2_D710.1,18:55:00,0
es12FD710_D2_D710.1,19:00:00,0
es12FD710_D2_D710.1,19:05:00,0
es12FD710_D2_D710.1,19:10:00,0
es12FD710_D2_D710.1,19:15:00,0
es12FD710_D2_D710.1,19:20:00,0
es12FD710_D2_D710.1,19:25:00,0
es12FD710_D2_D710.1,19:30:00,0
es12FD710_D2_D710.1,19:35:00,0
es12FD710_D2_D710.1,19:40:00,0
es12FD710_D2_D710.1,19:45:00,0
es12FD710_D2_D710.1,19:50:00,0
es12FD710_D2_D710.1,19:55:00,0
es12FD710_D2_D710.1,20:00:00,0
es12FD710_D2_D710.1,20:05:00,0
es12FD710_D2_D710.1,20:10:00,0
es12FD710_D2_D710.1,20:15:00,0
es12FD710_D2_D710.1,20:20:00,0
es12FD710_D2_D710.1,20:25:00,0
es12FD710_D2_D710.1,20:30:00,0
es12FD710_D2_D710.1,20:35:00,0
es12FD710_D2_D710.1,20:40:00,0
es12FD710_D2_D710.1,20:45:00,0
es12FD710_D2_D710.1,20:50:00,0
es12FD710_D2_D710.1,20:55:00,0
es12FD710_D2_D710.1,21:00:00,0
es12FD710_D2_D710.1,21:05:00,0
es12FD710_D2_D710.1,21:10:00,0
es12FD710_D2_D710.1,21:15:00,0
es12FD710_D2_D710.1,21:20:00,0
es12FD710_D2_D710.1,21:25:00,0
es12FD710_D2_D710.1,21:30:00,0
es12FD710_D2_D710.1,21:35:00,0
es12FD710_D2_D710.1,21:40:00,0
es12FD710_D2_D710.1,21:45:00,0
es12FD710_D2_D710.1,21:50:00,0
es12FD710_D2_D710.1,21:55:00,0
es12FD710_D2_D710.1,22:00:00,0
es12FD710_D2_D710.1,22:05:00,0
es12FD710_D2_D710.1,22:10:00,0
es12FD710_D2_D710.1,22:15:00,0
es12FD710_D2_D710.1,22:20:00,0
es12FD710_D2_D710.1,22:25:00,0
es12FD710_D2_D710.1,22:30:00,0
es12FD710_D2_D710.1,22:35:00,0
es12FD710_D2_D710.1,22:40:00,0
es12FD710_D2_D710.1,22:45:00,0
es12FD710_D2_D710.1,22:50:00,0
es12FD710_D2_D710.1,22:55:00,0
es12FD710_D2_D710.1,23:00:00,0
es12FD710_D2_D710.1,23:05:00,0
es12FD710_D2_D710.1,23:10:00,0
es12FD710_D2_D710.1,23:15:00,0
es12FD710_D2_D710.1,23:20:00,0
es12FD710_D2_D710.1,23:25:00,0
es12FD710_D2_D710.1,23:30:00,0
es12FD710_D2_D710.1,23:35:00,0
es12FD710_D2_D710.1,23:40:00,0
es12FD710_D2_D710.1,23:45:00,0
es12FD710_D2_D710.1,23:50:00,0
es12FD710_D2_D710.1,23:55:00,0
es12FD710_D3_D710.2,00:05:00,0
es12FD710_D3_D710.2,00:10:00,0
es12FD710_D3_D710.2,00:15:00,0
es12FD710_D3_D710.2,00:20:00,0
es12FD710_D3_D710.2,00:25:00,0
es12FD710_D3_D710.2,00:30:00,0
es12FD710_D3_D710.2,00:35:00,0
es12FD710_D3_D710.2,00:40:00,0
es12FD710_D3_D710.2,00:45:00,0
es12FD710_D3_D710.2,00:50:00,0
es12FD710_D3_D710.2,00:55:00,0
es12FD710_D3_D710.2,01:00:00,0
es12FD710_D3_D710.2,01:05:00,0
es12FD710_D3_D710.2,01:10:00,0
es12FD710_D3_D710.2,01:15:00,0
es12FD710_D3_D710.2,01:20:00,0
es12FD710_D3_D710.2,01:25:00,0
es12FD710_D3_D710.2,01:30:00,0
es12FD710_D3_D710.2,01:35:00,0
es12FD710_D3_D710.2,01:40:00,0
es12FD710_D3_D710.2,01:45:00,0
es12FD710_D3_D710.2,01:50:00,0
es12FD710_D3_D710.2,01:55:00,0
es12FD710_D3_D710.2,02:00:00,0
es12FD710_D3_D710.2,02:05:00,0
es12FD710_D3_D710.2,02:10:00,0
es12FD710_D3_D710.2,02:15:00,0
es12FD710_D3_D710.2,02:20:00,0
es12FD710_D3_D710.2,02:25:00,0
es12FD710_D3_D710.2,02:30:00,0
es12FD710_D3_D710.2,02:35:00,0
es12FD710_D3_D710.2,02:40:00,0
es12FD710_D3_D710.2,02:45:00,0
es12FD710_D3_D710.2,02:50:00,0
es12FD710_D3_D710.2,02:55:00,0
es12FD710_D3_D710.2,03:00:00,0
es12FD710_D3_D710.2,03:05:00,0
es12FD710_D3_D710.2,03:10:00,0
es12FD710_D3_D710.2,03:15:00,0
es12FD710_D3_D710.2,03:20:00,0
es12FD710_D3_D710.2,03:25:00,0
es12FD710_D3_D710.2,03:30:00,0
es12FD710_D3_D710.2,03:35:00,0
es12FD710_D3_D710.2,03:40:00,0
es12FD710_D3_D710.2,03:45:00,0
es12FD710_D3_D710.2,03:50:00,0
es12FD710_D3_D710.2,03:55:00,0
es12FD710_D3_D710.2,04:00:00,0
es12FD710_D3_D710.2,04:05:00,0
es12FD710_D3_D710.2,04:10:00,0
es12FD710_D3_D710.2,04:15:00,0
es12FD710_D3_D710.2,04:20:00,0
es12FD710_D3_D710.2,04:25:00,0
es12FD710_D3_D710.2,04:30:00,0
es12FD710_D3_D710.2,04:35:00,0
es12FD710_D3_D710.2,04:40:00,0
es12FD710_D3_D710.2,04:45:00,0
es12FD710_D3_D710.2,04:50:00,0
es12FD710_D3_D710.2,04:55:00,0
es12FD710_D3_D710.2,05:00:00,0
es12FD710_D3_D710.2,05:05:00,0
es12FD710_D3_D710.2,05:10:00,0
es12FD710_D3_D710.2,05:15:00,0
es12FD710_D3_D710.2,05:20:00,0
es12FD710_D3_D710.2,05:25:00,0
es12FD710_D3_D710.2,05:30:00,0
es12FD710_D3_D710.2,05:35:00,0
es12FD710_D3_D710.2,05:40:00,0
es12FD710_D3_D710.2,05:45:00,0
es12FD710_D3_D710.2,05:50:00,0
es12FD710_D3_D710.2,05:55:00,0
es12FD710_D3_D710.2,06:00:00,0
es12FD710_D3_D710.2,06:05:00,0
es12FD710_D3_D710.2,06:10:00,0
es12FD710_D3_D710.2,06:15:00,0
es12FD710_D3_D710.2,06:20:00,0
es12FD710_D3_D710.2,06:25:00,0
es12FD710_D3_D710.2,06:30:00,0
es12FD710_D3_D710.2,06:35:00,0
es12FD710_D3_D710.2,06:40:00,0
es12FD710_D3_D710.2,06:45:00,0
es12FD710_D3_D710.2,06:50:00,0
es12FD710_D3_D710.2,06:55:00,0
es12FD710_D3_D710.2,07:00:00,0
es12FD710_D3_D710.2,07:05:00,0
es12FD710_D3_D710.2,07:10:00,0
es12FD710_D3_D710.2,07:15:00,0
es12FD710_D3_D710.2,07:20:00,0
es12FD710_D3_D710.2,07:25:00,0
es12FD710_D3_D710.2,07:30:00,0
es12FD710_D3_D710.2,07:35:00,0
es12FD710_D3_D710.2,07:40:00,0
es12FD710_D3_D710.2,07:45:00,0
es12FD710_D3_D710.2,07:50:00,0
es12FD710_D3_D710.2,07:55:00,0
es12FD710_D3_D710.2,08:00:00,0
es12FD710_D3_D710.2,08:05:00,0
es12FD710_D3_D710.2,08:10:00,0
es12FD710_D3_D710.2,08:15:00,0
es12FD710_D3_D710.2,08:20:00,0
es12FD710_D3_D710.2,08:25:00,0
es12FD710_D3_D710.2,08:30:00,0
es12FD710_D3_D710.2,08:35:00,0
es12FD710_D3_D710.2,08:40:00,0
es12FD710_D3_D710.2,08:45:00,0
es12FD710_D3_D710.2,08:50:00,0
es12FD710_D3_D710.2,08:55:00,0
es12FD710_D3_D710.2,09:00:00,0
es12FD710_D3_D710.2,09:05:00,0
es12FD710_D3_D710.2,09:10:00,0
es12FD710_D3_D710.2,09:15:00,0
es12FD710_D3_D710.2,09:20:00,0
es12FD710_D3_D710.2,09:25:00,0
es12FD710_D3_D710.2,09:30:00,0
es12FD710_D3_D710.2,09:35:00,0
es12FD710_D3_D710.2,09:40:00,0
es12FD710_D3_D710.2,09:45:00,0
es12FD710_D3_D710.2,09:50:00,0
es12FD710_D3_D710.2,09:55:00,0
es12FD710_D3_D710.2,10:00:00,0
es12FD710_D3_D710.2,10:05:00,0
es12FD710_D3_D710.2,10:10:00,0
es12FD710_D3_D710.2,10:15:00,0
es12FD710_D3_D710.2,10:20:00,0
es12FD710_D3_D710.2,10:25:00,0
es12FD710_D3_D710.2,10:30:00,0
es12FD710_D3_D710.2,10:35:00,0
es12FD710_D3_D710.2,10:40:00,0
es12FD710_D3_D710.2,10:45:00,0
es12FD710_D3_D710.2,10:50:00,0
es12FD710_D3_D710.2,10:55:00,0
es12FD710_D3_D710.2,11:00:00,0
es12FD710_D3_D710.2,11:05:00,0
es12FD710_D3_D710.2,11:10:00,0
es12FD710_D3_D710.2,11:15:00,0
es12FD710_D3_D710.2,11:20:00,0
es12FD710_D3_D710.2,11:25:00,0
es12FD710_D3_D710.2,11:30:00,0
es12FD710_D3_D710.2,11:35:00,0
es12FD710_D3_D710.2,11:40:00,0
es12FD710_D3_D710.2,11:45:00,0
es12FD710_D3_D710.2,11:50:00,0
es12FD710_D3_D710.2,11:55:00,0
es12FD710_D3_D710.2,12:00:00,0
es12FD710_D3_D710.2,12:05:00,0
es12FD710_D3_D710.2,12:10:00,0
es12FD710_D3_D710.2,12:15:00,0
es12FD710_D3_D710.2,12:20:00,0
es12FD710_D3_D710.2,12:25:00,0
es12FD710_D3_D710.2,12:30:00,0
es12FD710_D3_D710.2,12:35:00,0
es12FD710_D3_D710.2,12:40:00,0
es12FD710_D3_D710.2,12:45:00,0
es12FD710_D3_D710.2,12:50:00,0
