place_id,name,lat,lon,node_type,address,place,popular_times,rating,rating_n,current_popularity,time_spent
ChIJ-1QITYDZQUcRu79smsboi-g,Szigetcsúcs Óbudai-sziget,47.5603421,19.060703399999998,park,Budapest,Szigetcsúcs Óbudai-sziget Budapest budapest,"[{'name': 'Monday', 'data': [1, 1, 1, 1, 1, 1, 1, 4, 8, 12, 16, 18, 20, 24, 40, 40, 29, 35, 38, 25, 7, 1, 1, 1]}, {'name': 'Tuesday', 'data': [1, 1, 1, 1, 1, 1, 1, 5, 8, 10, 12, 12, 11, 10, 13, 20, 31, 38, 35, 23, 10, 1, 1, 1]}, {'name': 'Wednesday', 'data': [1, 1, 1, 1, 1, 1, 5, 9, 12, 14, 14, 13, 10, 10, 12, 20, 30, 36, 35, 25, 13, 3, 1, 1]}, {'name': 'Thursday', 'data': [1, 1, 1, 1, 1, 1, 0, 1, 3, 5, 7, 10, 12, 16, 22, 32, 41, 44, 38, 26, 14, 5, 0, 1]}, {'name': 'Friday', 'data': [1, 1, 1, 1, 1, 1, 1, 5, 8, 11, 13, 13, 13, 14, 16, 23, 42, 60, 51, 27, 13, 7, 2, 1]}, {'name': 'Saturday', 'data': [1, 1, 1, 1, 1, 1, 1, 4, 15, 29, 39, 41, 40, 48, 67, 88, 100, 96, 79, 54, 31, 14, 4, 1]}, {'name': 'Sunday', 'data': [1, 1, 1, 1, 1, 1, 3, 8, 19, 40, 65, 78, 76, 75, 82, 90, 87, 70, 45, 23, 7, 1, 1, 1]}]",4.8,438,2,"[10, 45]"
ChIJ-2KkD-3bQUcRUYpNUVmnGXY,Spar,47.5284139,19.0687713,supermarket,"Budapest, Dunyov István utca 9","Spar Budapest, Dunyov István utca 9 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 21, 34, 48, 59, 64, 61, 52, 45, 47, 61, 80, 92, 85, 62, 33, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 27, 42, 55, 64, 66, 63, 60, 61, 69, 82, 93, 94, 82, 62, 38, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 43, 54, 54, 49, 50, 63, 76, 73, 69, 79, 94, 100, 90, 68, 41, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 41, 57, 64, 62, 64, 77, 87, 77, 65, 69, 82, 91, 85, 67, 43, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 33, 44, 53, 59, 61, 61, 62, 67, 74, 82, 86, 82, 71, 53, 34, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 13, 24, 37, 49, 59, 63, 60, 52, 44, 42, 49, 60, 63, 51, 30, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 21, 39, 55, 60, 53, 43, 44, 62, 87, 97, 80, 48, 0, 0, 0, 0]}]",3.3,503,44,"[15, 15]"
ChIJ-3UkzC7CQUcRNVb6JXKH_Lc,Szemeretelep vasútállomás,47.444210999999996,19.213256,transit_station,Hungary,Szemeretelep vasútállomás Hungary budapest,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 11, 34, 62, 73, 55, 30, 20, 25, 39, 54, 65, 68, 62, 49, 32, 16, 5, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 4, 32, 73, 96, 76, 37, 14, 14, 27, 44, 62, 74, 77, 71, 56, 39, 23, 11, 3, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 12, 37, 69, 93, 96, 78, 53, 37, 34, 42, 55, 66, 72, 70, 61, 48, 33, 18, 7, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 4, 26, 59, 88, 97, 80, 54, 37, 36, 46, 60, 71, 75, 72, 62, 47, 30, 16, 5, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 3, 17, 35, 50, 57, 54, 47, 43, 49, 63, 81, 95, 100, 93, 78, 57, 36, 18, 5, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 2, 6, 12, 22, 33, 42, 45, 40, 33, 28, 28, 32, 34, 32, 26, 17, 8, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 2, 6, 10, 15, 21, 28, 34, 36, 35, 33, 31, 29, 24, 15, 5, 0, 0, 0]}]",2.3,25,14,
ChIJ-9-LyMHbQUcRq8zKTGLs4-k,Csergő Opel Alkatrész Centrum és Opel Szakszerviz,47.537532,19.0732521,car_repair,"Budapest, Teve utca 44","Csergő Opel Alkatrész Centrum és Opel Szakszerviz Budapest, Teve utca 44 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 31, 65, 92, 92, 79, 78, 86, 84, 65, 38, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 41, 67, 88, 91, 82, 78, 91, 100, 81, 44, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 45, 76, 90, 87, 85, 92, 94, 85, 65, 43, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 44, 77, 90, 85, 82, 91, 96, 86, 63, 37, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 39, 66, 73, 65, 69, 83, 85, 69, 42, 19, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 13, 13, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",4.4,495,50,"[15, 15]"
ChIJ-S8S2hHFQUcR5-s8z76BZe4,Csömöri Sportlovarda,47.5449521,19.2166723,travel_agency,"Csömör, Major út","Csömöri Sportlovarda Csömör, Major út budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 15, 32, 23, 11, 15, 23, 28, 25, 17, 11, 10, 15, 18, 16, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 25, 16, 7, 10, 12, 13, 11, 11, 16, 23, 32, 36, 32, 22, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 8, 12, 16, 19, 19, 17, 15, 15, 17, 22, 28, 31, 28, 22, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 9, 22, 35, 43, 40, 33, 30, 30, 27, 26, 27, 30, 27, 16, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 9, 15, 21, 24, 23, 19, 15, 12, 16, 27, 38, 40, 30, 16, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 13, 34, 61, 88, 100, 86, 59, 38, 31, 31, 30, 24, 16, 7, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 11, 27, 48, 68, 76, 68, 51, 35, 27, 24, 23, 21, 15, 9, 0, 0, 0, 0]}]",4.4,77,54,"[15, 60]"
ChIJ-WOSU1LdQUcRq6iEnG8zSIQ,Pesterzsébet Felső,47.4380497,19.0939689,transit_station,Hungary,Pesterzsébet Felső Hungary budapest,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 15, 33, 48, 52, 42, 27, 20, 25, 43, 66, 84, 88, 78, 60, 43, 31, 23, 18, 12, 5]}, {'name': 'Tuesday', 'data': [0, 0, 0, 2, 17, 39, 55, 55, 40, 23, 19, 29, 49, 72, 88, 92, 83, 66, 48, 34, 25, 19, 14, 8]}, {'name': 'Wednesday', 'data': [3, 0, 0, 3, 14, 37, 59, 63, 48, 29, 24, 35, 54, 75, 89, 91, 81, 65, 48, 33, 22, 14, 8, 3]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 15, 36, 55, 59, 46, 27, 16, 23, 45, 73, 95, 100, 85, 62, 41, 29, 23, 19, 15, 9]}, {'name': 'Friday', 'data': [3, 0, 0, 1, 8, 29, 52, 59, 44, 25, 21, 35, 59, 80, 90, 85, 69, 52, 38, 29, 23, 18, 13, 7]}, {'name': 'Saturday', 'data': [2, 0, 0, 0, 6, 11, 17, 22, 25, 25, 24, 23, 23, 24, 25, 27, 28, 28, 27, 24, 20, 15, 11, 6]}, {'name': 'Sunday', 'data': [3, 0, 0, 2, 2, 6, 11, 15, 18, 18, 17, 16, 16, 17, 19, 21, 23, 23, 22, 19, 15, 10, 6, 2]}]",3.2,26,72,
ChIJ-Wz8aj3dQUcRWi6L7F5qUdo,MOL,47.4611364,19.085933899999997,gas_station,"Budapest, Gubacsi út 41-45","MOL Budapest, Gubacsi út 41-45 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 36, 54, 67, 71, 67, 63, 64, 67, 67, 61, 49, 34, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 43, 72, 83, 74, 65, 67, 73, 75, 78, 84, 84, 69, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 42, 59, 71, 72, 67, 63, 70, 84, 90, 79, 58, 38, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 41, 67, 83, 80, 70, 68, 79, 93, 100, 92, 73, 50, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 48, 64, 75, 81, 82, 80, 79, 78, 73, 65, 52, 37, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 33, 41, 43, 41, 39, 36, 35, 37, 39, 39, 32, 21, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 12, 17, 23, 27, 28, 26, 23, 22, 26, 34, 36, 28, 0, 0, 0, 0, 0, 0]}]",4.3,121,72,"[10, 10]"
ChIJ-Z1qH7jQQUcR7C7nQ6BDj5Q,BAUHAUS SZAKÁRUHÁZ Dunakeszi,47.609389,19.113506,department_store,"Dunakeszi, Pallag utca 9","BAUHAUS SZAKÁRUHÁZ Dunakeszi Dunakeszi, Pallag utca 9 budapest","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 10, 20, 32, 42, 49, 49, 45, 42, 43, 45, 44, 37, 27, 15, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 12, 23, 36, 48, 54, 54, 49, 45, 46, 50, 50, 42, 29, 15, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 13, 25, 38, 49, 54, 54, 50, 47, 48, 50, 49, 41, 29, 16, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 14, 25, 38, 49, 54, 52, 47, 44, 46, 51, 52, 45, 32, 19, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 14, 23, 34, 44, 51, 52, 49, 44, 43, 49, 56, 53, 38, 19, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 45, 66, 79, 81, 75, 72, 74, 76, 70, 54, 34, 17, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 31, 58, 85, 100, 95, 83, 79, 83, 74, 46, 0, 0, 0, 0, 0, 0]}]",4.3,7517,11,"[30, 30]"
ChIJ-ZbyHjncQUcRcIytrJeZLQU,Várkert Bazár,47.493796,19.04374,transit_station,Hungary,Várkert Bazár Hungary budapest,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 7, 13, 19, 27, 34, 38, 38, 34, 27, 21, 19, 22, 26, 27, 22, 14, 5, 1]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 8, 15, 23, 31, 39, 44, 45, 43, 38, 33, 30, 27, 25, 21, 16, 10, 5, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 3, 10, 19, 28, 36, 40, 41, 39, 35, 32, 29, 26, 24, 21, 17, 13, 9, 5]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 16, 26, 36, 46, 54, 61, 62, 58, 50, 41, 33, 28, 25, 21, 17, 12, 7, 3]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 7, 16, 29, 45, 62, 76, 84, 86, 82, 79, 81, 91, 100, 97, 79, 53, 30, 14]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 1, 4, 9, 17, 29, 42, 54, 63, 68, 69, 67, 65, 61, 55, 47, 37, 26, 16]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 1, 4, 8, 14, 23, 34, 44, 53, 60, 65, 68, 66, 60, 48, 34, 21, 11, 4]}]",4.6,6554,19,"[120, 120]"
ChIJ-cF0oYHnQUcRTBCyVb2XGW4,Savoya Park,47.4362475,19.040832,transit_station,Hungary,Savoya Park Hungary budapest,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 19, 31, 43, 53, 58, 58, 55, 53, 60, 71, 77, 69, 48, 26, 10, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 21, 33, 47, 59, 65, 65, 62, 62, 70, 82, 87, 77, 54, 29, 12, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 25, 38, 51, 61, 67, 67, 64, 62, 68, 81, 89, 79, 54, 28, 12, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 25, 38, 53, 65, 73, 75, 71, 68, 73, 85, 94, 86, 60, 31, 11, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 25, 39, 53, 64, 70, 72, 71, 74, 84, 96, 100, 86, 60, 33, 13, 3, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 20, 39, 60, 79, 87, 86, 79, 74, 74, 75, 71, 59, 41, 24, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 28, 49, 72, 85, 84, 75, 68, 69, 71, 64, 46, 26, 0, 0, 0, 0]}]",4.3,7577,22,"[25, 60]"
