name,node_type,lat,lon,Monday_mean,Monday_std,Tuesday_mean,Tuesday_std,Wednesday_mean,Wednesday_std,Thursday_mean,Thursday_std,Friday_mean,Friday_std
Erste Bank fiók,bank,47.4554815,19.040086499999997,25.625,32.99092362554687,20.833333333333332,31.16042718292261,22.208333333333332,33.450185807489255,21.666666666666668,31.13902517563594,18.166666666666668,29.04546244921724
4P Car Kft.,car_repair,47.3995473,19.0506207,16.958333333333332,22.901017383998955,21.875,30.260414873780785,20.875,28.274417913253906,18.416666666666668,24.31549003321865,9.708333333333334,19.75153826639558
Nyárfás Kávéház,restaurant,47.5706476,19.064781699999997,6.625,8.726456420945828,5.75,7.917543811056558,5.0,6.075908711186061,7.041666666666667,8.871673868116558,10.416666666666666,11.430648372783681
M3 Sztráda Italdiszkont,liquor_store,47.5442588,19.1156514,9.583333333333334,12.665295978468967,10.166666666666666,16.62745387069897,12.458333333333334,14.98604675096879,12.416666666666666,18.156533871370446,18.708333333333332,28.39964666251247
Tasting Table Budapest,liquor_store,47.492449,19.065122600000002,21.125,30.714155938264035,16.125,23.20436830282896,19.333333333333332,28.929031938329512,21.166666666666668,31.548463600555188,23.833333333333332,34.68509125770834
Sarki Fűszeres,cafe,47.519380700000006,19.0523938,23.25,27.276745284827026,26.875,27.915516145446183,26.916666666666668,28.72559350513444,24.625,26.408351740816137,28.875,29.02916995598278
Szigetcsúcs Óbudai-sziget,park,47.5603421,19.060703399999998,13.583333333333334,14.062114192238504,10.333333333333334,11.130538571376,11.208333333333334,10.747011858599993,11.791666666666666,14.02372741305091,13.583333333333334,16.064756110470174
Delta-Truck Kft.,car_repair,47.45689,19.103818,25.958333333333332,34.425619295647955,27.875,36.575620865088084,31.0,40.5,30.291666666666668,39.77172275066238,26.416666666666668,34.43703997474554
Duna Dental Fogászat Budapest,dentist,47.4917714,19.053533899999998,25.75,29.193677968583085,33.541666666666664,37.70165686751121,31.125,35.83795997263237,34.333333333333336,38.747759791875566,26.25,33.64180187405742
Spar,supermarket,47.5284139,19.0687713,35.166666666666664,31.090816793530674,39.916666666666664,34.15762075372867,41.791666666666664,35.34470630644551,42.958333333333336,35.152618639615206,38.416666666666664,32.27217153455211
Karikás Frigyes utcai felnőtt háziorvosi rendelő.,doctor,47.5351785,19.0662467,29.125,35.06816279286194,30.291666666666668,34.991045481506966,30.208333333333332,33.71446174204114,30.083333333333332,34.69500044034523,17.541666666666668,19.416443131760484
Szemeretelep vasútállomás,transit_station,47.444210999999996,19.213256,29.166666666666668,25.6737003349515,34.708333333333336,30.605662829323308,40.875,30.39642591380331,40.208333333333336,31.162182163998438,40.875,32.74308133025968
Alfa Fit Kft,furniture_store,47.399358500000005,19.1918759,20.125,29.12517882634657,18.958333333333332,30.38294363436316,18.041666666666668,27.43094233201299,17.416666666666668,28.14385170670299,0.0,0.0
Bagetto,bakery,47.5708172,19.0619386,7.5,8.18535277187245,9.875,10.951835843059982,9.5,10.444296689262199,10.083333333333334,10.896928721229461,10.416666666666666,11.95099949330134
Loidl Virág és Enteriőr,florist,47.5710274,19.0621991,23.708333333333332,25.35823200768452,26.291666666666668,28.042347688609972,25.458333333333332,27.454476208605566,20.166666666666668,21.09633986158631,23.5,28.687976575562104
"Rokon Sport Kerékpárüzlet, Sí-és snowboard szakbolt, szerviz",bicycle_store,47.586059000000006,19.0461879,15.916666666666666,24.038019654058214,15.458333333333334,25.785944437921128,17.041666666666668,27.09470914936879,14.541666666666666,23.62727796190007,16.5,26.011215529715894
Car Danubia Kft.,car_dealer,47.4701191,19.0197873,22.375,28.92059891611283,23.25,31.17992142389073,25.041666666666668,33.22709633048839,18.833333333333332,25.07599560447313,12.25,20.25514337972786
Museum of Fine Arts,museum,47.516203600000004,19.0764374,0.0,0.0,12.583333333333334,18.645635473810543,16.291666666666668,23.509712827302298,21.208333333333332,30.5627485220525,19.916666666666668,29.405096874899463
Electrical appliances shop. - Daniella Ltd. Üllői,home_goods_store,47.4273453,19.2222028,20.416666666666668,26.468403595398208,26.583333333333332,33.43889534990985,25.208333333333332,33.2377535926977,24.791666666666668,31.722729977450275,25.666666666666668,31.037164102983947
Tromf Car Kereskedelmi és Szolgáltató Kft.,car_dealer,47.4384489,19.14677,21.75,32.40916794159743,18.666666666666668,27.94737117432614,22.458333333333332,33.747813715195775,22.625,32.82251831187445,24.208333333333332,34.822142341076926
Alpha-Vet Veterinary Kft.,pharmacy,47.437465,19.145670000000003,26.541666666666668,34.743079846528026,28.0,36.6390047171954,29.833333333333332,38.8261795985933,30.5,39.848672081597236,25.5,33.14739808793444
Csavarház,hardware_store,47.49220820000001,19.2494844,19.333333333333332,27.353650985238193,21.583333333333332,29.358299034893392,15.625,21.657971011462116,26.0,34.78026260203719,22.75,32.575872973720905
Montázs Art Café,cafe,47.4648408,19.031737,12.333333333333334,13.406051701460136,21.583333333333332,27.07538344860307,22.375,26.83407737063701,29.0,33.65263734092768,24.125,28.44338309109285
Black and Decker Dewalt Márkaszerviz,store,47.510555700000005,19.169348199999998,24.125,35.76114336818665,24.708333333333332,36.375906823366236,18.958333333333332,27.541603630790195,21.458333333333332,31.76473302089739,13.958333333333334,20.687111862757018
Csergő Opel Alkatrész Centrum és Opel Szakszerviz,car_repair,47.537532,19.0732521,29.583333333333332,37.391974034840985,31.791666666666668,39.54109588629137,31.75,39.317351979331804,31.291666666666668,39.07522570490014,25.416666666666668,32.71584308693402
La Panna Cukrászda,bakery,47.4113754,19.0885523,0.0,0.0,13.0,21.51937111844427,9.5,19.42721458847528,9.375,15.24197193060443,12.375,20.734055118733206
Reining Söröző,bar,47.5066963,19.145431600000002,31.916666666666668,33.534704246330975,24.166666666666668,27.05190484153668,24.041666666666668,24.524612070779472,34.0,34.60130055359191,37.541666666666664,37.65963706528368
A CSIRKÉS ÉTELBÁR,restaurant,47.5840666,19.112190899999998,14.125,22.66479005712017,19.708333333333332,25.495880658560427,18.25,24.57005290999594,25.0,33.76388603226827,19.166666666666668,24.028917763579965
Pianetti Kft.,home_goods_store,47.410385600000005,19.1111413,11.166666666666666,14.197026292697903,17.708333333333332,22.545286215871283,18.291666666666668,27.108545956743765,13.5,17.809173666025796,20.291666666666668,25.637666246278258
Aura,home_goods_store,47.54672539999999,19.0378171,14.125,23.868236389254513,19.208333333333332,28.572975528557674,16.708333333333332,24.177260609001088,17.833333333333332,28.199684789412494,17.0,25.584826232228615
