,es31FD910_D1_D910.1,es31FD910_D2_D910.2
01.0400,35.333333333333336,12.0
01.0401,22.333333333333332,7.999999999999999
01.0402,15.000000000000002,5.666666666666667
01.0403,20.0,11.333333333333334
01.0404,47.66666666666667,24.999999999999996
01.0405,120.33333333333334,106.0
01.0406,433.0,648.6666666666666
01.0407,560.0,822.3333333333333
01.0408,553.6666666666666,805.6666666666666
01.0409,378.33333333333337,684.0
01.0410,379.9999999999999,643.6666666666667
01.0411,356.00000000000006,524.6666666666666
01.0412,374.6666666666667,546.6666666666666
01.0413,395.6666666666667,584.6666666666667
01.0414,372.00000000000006,541.0
01.0415,348.0,533.6666666666666
01.0416,415.33333333333337,713.6666666666666
01.0417,441.00000000000006,681.9999999999999
01.0418,309.6666666666667,484.3333333333333
01.0419,298.0,395.66666666666663
01.0420,228.66666666666669,243.66666666666669
01.0421,148.66666666666669,99.66666666666666
01.0422,88.33333333333334,71.0
01.0423,63.0,29.666666666666668
02.0400,23.333333333333336,12.333333333333332
02.0401,10.0,13.999999999999998
02.0402,19.0,6.0
02.0403,27.666666666666664,13.0
02.0404,42.00000000000001,18.0
02.0405,107.66666666666666,78.33333333333334
02.0406,406.0,634.3333333333333
02.0407,560.6666666666667,879.3333333333333
02.0408,488.3333333333333,754.3333333333334
02.0409,471.99999999999994,736.0
02.0410,366.66666666666663,627.0000000000001
02.0411,369.3333333333333,565.6666666666666
02.0412,355.3333333333333,517.0
02.0413,371.6666666666667,525.6666666666667
02.0414,355.3333333333333,534.3333333333333
02.0415,427.6666666666667,638.6666666666667
02.0416,419.3333333333333,746.3333333333334
02.0417,490.99999999999994,632.3333333333333
02.0418,378.33333333333337,541.3333333333334
02.0419,293.99999999999994,359.66666666666663
02.0420,197.33333333333334,259.6666666666667
02.0421,137.66666666666666,121.99999999999999
02.0422,87.33333333333333,54.0
02.0423,49.66666666666667,26.333333333333332
03.0400,24.0,14.666666666666666
03.0401,21.0,9.0
03.0402,17.0,5.0
03.0403,25.0,6.0
03.0404,37.333333333333336,25.333333333333332
03.0405,109.0,89.66666666666666
03.0406,401.0,644.0
03.0407,609.6666666666666,856.3333333333334
03.0408,577.0,785.0000000000001
03.0409,434.3333333333333,631.3333333333333
03.0410,396.6666666666667,618.6666666666666
03.0411,361.6666666666667,545.3333333333333
03.0412,384.6666666666667,582.0
03.0413,422.3333333333333,630.0
03.0414,411.33333333333337,652.0000000000001
03.0415,421.66666666666663,653.3333333333334
03.0416,518.3333333333334,595.6666666666666
03.0417,599.3333333333334,440.3333333333333
03.0418,533.6666666666667,561.3333333333334
03.0419,319.0,432.9999999999999
03.0420,226.66666666666669,240.33333333333334
03.0421,152.00000000000003,131.0
03.0422,85.66666666666667,77.0
03.0423,68.66666666666667,43.0
